rank,release_date,title,url,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,year
328,11/17/2000,How the Grinch Stole Christmas,/movie/How-the-Grinch-Stole-Christmas-(2000)#tab=summary,123000000,260348825,345445403,55820330,PG,Adventure,3256,105,2000
329,5/24/2000,Mission: Impossible 2,/movie/Mission-Impossible-2#tab=summary,120000000,215409889,549588516,57845297,PG-13,Action,3669,126,2000
330,6/30/2000,The Perfect Storm,/movie/Perfect-Storm-The#tab=summary,120000000,182618434,328711434,41325042,PG-13,Drama,3407,129,2000
331,7/20/2016,Jason Bourne,/movie/Jason-Bourne#tab=summary,120000000,162192920,416168316,59215365,PG-13,Action,4039,123,2016
332,2/10/2022,Uncharted,/movie/Uncharted-(2022)#tab=summary,120000000,148648820,401748820,44010155,PG-13,Adventure,4275,116,2022
333,6/15/2007,Fantastic Four: Rise of the Silver Surfer,/movie/Fantastic-Four-Rise-of-the-Silver-Surfer#tab=summary,120000000,131921738,289480691,58051684,PG,Action,3963,91,2007
334,11/21/2012,Life of Pi,/movie/Life-of-Pi#tab=summary,120000000,124987022,619310368,22451514,PG,Drama,2946,125,2012
335,2/16/2007,Ghost Rider,/movie/Ghost-Rider#tab=summary,120000000,115802596,229545589,45388836,PG-13,Action,3620,110,2007
336,4/9/2018,Rampage,/movie/Rampage-(2018)#tab=summary,120000000,101028233,427947217,35753093,PG-13,Action,4115,107,2018
337,6/27/2003,Charlie's Angels: Full Throttle,/movie/Charlies-Angels-Full-Throttle#tab=summary,120000000,100814328,227163273,37634221,PG-13,Action,3485,106,2003
338,8/9/2013,Elysium,/movie/Elysium#tab=summary,120000000,93050117,286192091,29807393,R,Action,3284,109,2013
339,4/19/2013,Oblivion,/movie/Oblivion-(2013)#tab=summary,120000000,89107235,287916633,37054485,PG-13,Thriller/Suspense,3792,125,2013
340,3/24/2017,Power Rangers,/movie/Power-Rangers-(2017)#tab=summary,120000000,85364450,142531552,40300288,PG-13,Action,3693,124,2017
341,7/19/2002,Stuart Little 2,/movie/Stuart-Little-2#tab=summary,120000000,64956806,166000000,15115152,PG,Adventure,3282,77,2002
342,2/12/2014,RoboCop,/movie/RoboCop-(2013)#tab=summary,120000000,58607007,242981799,21681430,PG-13,Action,3372,116,2014
343,6/11/2004,The Chronicles of Riddick,/movie/Chronicles-of-Riddick-The#tab=summary,120000000,57712751,107212751,24289165,PG-13,Adventure,2759,119,2004
344,8/5/2015,The Fantastic Four,/movie/Fantastic-Four-The-(2015)#tab=summary,120000000,56117548,167849187,NA,NA,NA,NA,NA,2015
345,5/9/2008,Speed Racer,/movie/Speed-Racer#tab=summary,120000000,43945766,93394462,18561337,PG,Action,3606,135,2008
346,7/22/2005,The Island,/movie/Island-The-(2005)#tab=summary,120000000,35818913,163018913,12409070,PG-13,Action,3138,136,2005
347,12/17/2010,How Do You Know?,/movie/How-Do-You-Know#tab=summary,120000000,30212620,49628177,7484696,R,Romantic Comedy,2483,121,2010
348,11/9/2018,Outlaw King,/movie/Outlaw-King-(2018)#tab=summary,120000000,0,0,NA,R,Action,NA,117,2018
349,12/2/2022,Emancipation,/movie/Emancipation-(2022)#tab=summary,120000000,0,0,NA,NA,Thriller/Suspense,NA,132,2022
350,6/23/2010,Knight and Day,/movie/Knight-and-Day#tab=summary,117000000,76423035,258751370,20139985,PG-13,Action,3104,109,2010
351,1/25/2021,Tang Ren Jie Tan An 3,/movie/Tang-Ren-Jie-Tan-An-3-(China)#tab=summary,117000000,0,699084069,NA,R,Action,NA,136,2021
352,10/2/2018,Venom,/movie/Venom-(2018)#tab=summary,116000000,213511408,856081053,80255756,PG-13,Action,4250,112,2018
353,5/19/1999,Star Wars Ep. I: The Phantom Menace,/movie/Star-Wars-Ep-I-The-Phantom-Menace#tab=summary,115000000,474544677,1027044677,64810970,PG,Adventure,3126,133,1999
354,5/19/2005,Star Wars Ep. III: Revenge of the Sith,/movie/Star-Wars-Ep-III-Revenge-of-the-Sith#tab=summary,115000000,380270577,848998877,108435841,PG-13,Adventure,3663,139,2005
355,5/16/2002,Star Wars Ep. II: Attack of the Clones,/movie/Star-Wars-Ep-II-Attack-of-the-Clones#tab=summary,115000000,310676740,656695615,80027814,PG,Adventure,3161,143,2002
356,11/2/2001,"Monsters, Inc.",/movie/Monsters-Inc#tab=summary,115000000,290149425,560483719,62577067,G,Adventure,3649,92,2001
357,7/26/2013,The Wolverine,/movie/Wolverine-The#tab=summary,115000000,132556852,416456852,53113752,PG-13,Action,3924,126,2013
358,2/7/1997,Dante’s Peak,/movie/Dantes-Peak-(1997)#tab=summary,115000000,67163857,178200000,18479435,PG-13,Thriller/Suspense,2761,109,1997
359,4/6/2016,The Huntsman: Winter’s War,/movie/Huntsman-Winters-War-The#tab=summary,115000000,48003015,165149302,19445035,PG-13,Action,3802,113,2016
360,6/14/2002,Windtalkers,/movie/Windtalkers#tab=summary,115000000,40914068,77628265,14520412,R,Action,2898,134,2002
361,3/6/2019,Triple Frontier,/movie/Triple-Frontier-(2019)#tab=summary,115000000,0,0,NA,R,Action,NA,125,2019
362,7/4/2008,Astérix aux Jeux Olympiques,/movie/Asterix-aux-Jeux-Olympiques#tab=summary,113500000,999811,132999811,NA,Unrated,Adventure,NA,NA,2008
363,12/24/2010,Gulliver's Travels,/movie/Gullivers-Travels-(2010)#tab=summary,112000000,42779261,232017848,6307691,PG,Adventure,3089,87,2010
364,12/8/2017,Ferdinand,/movie/Ferdinand#tab=summary,111000000,84410380,288510892,13401586,PG,Adventure,3630,107,2017
365,5/11/2018,Deadpool 2,/movie/Deadpool-2#tab=summary,110000000,324591735,786362370,125507153,R,Action,4349,119,2018
366,10/3/2013,Gravity,/movie/Gravity#tab=summary,110000000,274092705,688214291,55785112,PG-13,Thriller/Suspense,3820,91,2013
367,12/22/2006,Night at the Museum,/movie/Night-at-the-Museum#tab=summary,110000000,250863268,579446407,30433781,PG,Adventure,3768,108,2006
368,9/30/2021,Venom: Let There be Carnage,/movie/Venom-Let-There-be-Carnage#tab=summary,110000000,213550366,501600379,90033210,PG-13,Action,4225,97,2021
369,6/10/2005,Mr. and Mrs. Smith,/movie/Mr-and-Mrs-Smith#tab=summary,110000000,186336279,486124090,50342878,PG-13,Action,3451,120,2005
370,5/27/2015,San Andreas,/movie/San-Andreas#tab=summary,110000000,155190832,456258539,54588173,PG-13,Adventure,3812,114,2015
371,7/29/2011,The Smurfs,/movie/Smurfs-The#tab=summary,110000000,142614158,563749323,35611637,PG,Adventure,3427,103,2011
372,6/27/2007,Live Free or Die Hard,/movie/Live-Free-or-Die-Hard#tab=summary,110000000,134529403,382288147,33369559,PG-13,Action,3411,129,2007
373,3/18/2015,The Divergent Series: Insurgent,/movie/Divergent-Series-Insurgent-The#tab=summary,110000000,130179072,295075882,52263680,PG-13,Action,3875,118,2015
374,12/10/2004,Ocean's Twelve,/movie/Oceans-Twelve#tab=summary,110000000,125531634,362989076,39153380,PG-13,Adventure,3290,125,2004
375,12/19/1997,Tomorrow Never Dies,/movie/Tomorrow-Never-Dies#tab=summary,110000000,125304276,339504276,25143007,PG-13,Action,2807,119,1997
376,6/28/2000,The Patriot,/movie/Patriot-The-(2000)#tab=summary,110000000,113330342,215300000,22413710,R,Drama,3061,164,2000
377,3/7/2014,300: Rise of an Empire,/movie/300-Rise-of-an-Empire#tab=summary,110000000,106580051,330780051,45038460,R,Action,3490,102,2014
378,12/17/2004,The Aviator,/movie/Aviator-The-(2004)#tab=summary,110000000,102608827,208370892,858021,PG-13,Drama,2530,170,2004
379,12/21/2016,Passengers,/movie/Passengers-(2015)#tab=summary,110000000,100014699,302239672,14869736,PG-13,Thriller/Suspense,3478,116,2016
380,1/14/2011,The Green Hornet,/movie/Green-Hornet-The#tab=summary,110000000,98780042,229155503,33526876,PG-13,Action,3584,118,2011
381,9/21/2016,Miss Peregrine’s Home for Peculiar Children,/movie/Miss-Peregrines-Home-for-Peculiar-Children#tab=summary,110000000,87242834,295986876,28871140,PG-13,Adventure,3835,126,2016
382,10/7/2011,Real Steel,/movie/Real-Steel#tab=summary,110000000,85463309,263880341,27319677,PG-13,Action,3440,126,2011
383,6/12/2019,Men in Black: International,/movie/Men-in-Black-International-(2019)#tab=summary,110000000,80001807,253020464,30035838,PG-13,Adventure,4224,118,2019
384,6/11/2010,The A-Team,/movie/A-Team-The#tab=summary,110000000,77222099,177241171,25669455,PG-13,Action,3544,118,2010
385,7/31/2013,The Smurfs 2,/movie/Smurfs-2-The#tab=summary,110000000,71017784,348547523,17548389,PG,Adventure,3867,104,2013
386,3/9/2016,The Divergent Series: Allegiant,/movie/Divergent-Series-Allegiant-The#tab=summary,110000000,66184051,172022517,29027348,PG-13,Action,3740,120,2016
387,6/12/2009,The Taking of Pelham 123,/movie/Taking-of-Pelham-123-The#tab=summary,110000000,65452312,152364370,23373102,R,Action,3077,106,2009
388,10/25/2013,Ender's Game,/movie/Enders-Game#tab=summary,110000000,61737191,127983283,27017351,PG-13,Adventure,3407,114,2013
389,4/2/2004,Home on the Range,/movie/Home-on-the-Range#tab=summary,110000000,50026353,76482461,13880771,PG,Adventure,3058,76,2004
390,6/13/1997,Speed 2: Cruise Control,/movie/Speed-2-Cruise-Control#tab=summary,110000000,48097081,150468000,16158942,PG-13,Action,2625,125,1997
391,5/6/2005,Kingdom of Heaven,/movie/Kingdom-of-Heaven#tab=summary,110000000,47398413,218674938,19635996,R,Action,3219,148,2005
392,3/23/2017,Ghost in the Shell,/movie/Ghost-in-the-Shell#tab=summary,110000000,40563557,167910690,18676033,PG-13,Action,3440,100,2017
393,6/16/2004,Around the World in 80 Days,/movie/Around-the-World-in-80-Days-(2004)#tab=summary,110000000,24004159,72004159,7576132,PG,Adventure,2801,120,2004
394,11/21/2003,Dr. Seuss’ The Cat in the Hat,/movie/Dr-Seuss-The-Cat-in-the-Hat-(2003)#tab=summary,109000000,101018283,133818283,38329160,PG,Adventure,3467,82,2003
395,12/25/2001,Ali,/movie/Ali-(2001)#tab=summary,109000000,58183966,87683966,14710892,R,Drama,2521,158,2001
396,9/30/2015,The Martian,/movie/Martian-The#tab=summary,108000000,228433663,653609107,54308575,PG-13,Thriller/Suspense,3854,130,2015
397,11/20/2016,Allied,/movie/Allied#tab=summary,106000000,40098064,119266661,12701743,R,Drama,3160,124,2016
398,7/16/2004,"I, Robot",/movie/I-Robot#tab=summary,105000000,144801023,348629585,52179887,PG-13,Action,3494,115,2004
399,12/17/1999,Stuart Little,/movie/Stuart-Little#tab=summary,105000000,140015224,298815224,15018223,PG,Adventure,3151,92,1999
400,11/25/2009,The Princess and the Frog,/movie/Princess-and-the-Frog-The#tab=summary,105000000,104400899,270997378,786190,G,Adventure,3475,97,2009
401,3/7/2008,,,105000000,94784201,269065678,35867488,PG-13,Adventure,3454,109,2008
402,7/1/2016,Ice Age: Collision Course,/movie/Ice-Age-Collision-Course#tab=summary,105000000,64063008,402156682,21373064,PG,Adventure,3997,100,2016
403,11/7/1997,Starship Troopers,/movie/Starship-Troopers#tab=summary,105000000,54768952,121100000,22058773,R,Action,2971,129,1997
404,4/27/2001,Town & Country,/movie/Town-and-Country#tab=summary,105000000,6712451,10364769,3029858,R,Romantic Comedy,2222,NA,2001
405,9/19/2017,Kingsman: The Golden Circle,/movie/Kingsman-The-Golden-Circle#tab=summary,104000000,100234838,408803696,39023010,R,Action,4038,141,2017
406,6/9/2000,Gone in 60 Seconds,/movie/Gone-in-60-Seconds#tab=summary,103300000,101643008,232643008,25336048,PG-13,Action,3089,117,2000
407,5/4/2000,Gladiator,/movie/Gladiator-(2000)#tab=summary,103000000,187683805,456435588,34819017,R,Action,3188,154,2000
408,5/23/2013,The Hangover 3,/movie/Hangover-3-The#tab=summary,103000000,112200072,362000072,41671198,R,Comedy,3565,100,2013
409,3/9/2018,A Wrinkle in Time,/movie/Wrinkle-in-Time-A-(2018)#tab=summary,103000000,100478608,133214549,33123609,PG,Adventure,3980,120,2018
410,7/1/2009,Public Enemies,/movie/Public-Enemies-(2009)#tab=summary,102500000,97104620,212282709,25271675,R,Drama,3336,140,2009
411,11/17/2006,Casino Royale,/movie/Casino-Royale-(2006)#tab=summary,102000000,167365000,594420283,40833156,PG-13,Action,3443,144,2006
412,6/21/2002,Minority Report,/movie/Minority-Report#tab=summary,102000000,132024714,358824714,35677125,PG-13,Action,3001,144,2002
413,12/13/2018,Bumblebee,/movie/Bumblebee#tab=summary,102000000,127195589,465195589,21654047,PG-13,Adventure,3597,114,2018
414,10/26/2012,Cloud Atlas,/movie/Cloud-Atlas#tab=summary,102000000,27108272,130673154,9612247,R,Drama,2023,172,2012
415,11/15/2002,Harry Potter and the Chamber of Secrets,/movie/Harry-Potter-and-the-Chamber-of-Secrets#tab=summary,100000000,262233381,875262553,88357488,PG,Adventure,3682,161,2002
416,7/2/1991,Terminator 2: Judgment Day,/movie/Terminator-2-Judgment-Day#tab=summary,100000000,203464105,515376182,31765506,R,Action,2495,136,1991
417,6/16/1995,Batman Forever,/movie/Batman-Forever-(1995)#tab=summary,100000000,184031112,336529144,52784433,PG-13,Action,2893,122,1995
418,7/27/2001,Planet of the Apes,/movie/Planet-of-the-Apes-(2001)#tab=summary,100000000,180011740,362211740,68532960,PG-13,Adventure,3530,120,2001
419,11/19/2004,National Treasure,/movie/National-Treasure#tab=summary,100000000,173005002,331323410,35142554,PG,Adventure,3243,130,2004
420,12/25/2012,Django Unchained,/movie/Django-Unchained#tab=summary,100000000,162805434,449841566,30122888,R,Western,3012,165,2012
421,12/25/2019,1917,/movie/1917-(2019)#tab=summary,100000000,159227644,370603379,576216,R,Thriller/Suspense,3987,119,2019
422,12/22/2010,Little Fockers,/movie/Little-Fockers#tab=summary,100000000,148438600,310650574,30833665,PG-13,Comedy,3675,98,2010
423,7/15/1994,True Lies,/movie/True-Lies#tab=summary,100000000,146282411,365300000,25869770,R,Action,2561,141,1994
424,11/2/2007,American Gangster,/movie/American-Gangster-(2007)#tab=summary,100000000,130164645,267985456,43565135,R,Drama,3111,157,2007
425,9/18/2009,Cloudy with a Chance of Meatballs,/movie/Cloudy-with-a-Chance-of-Meatballs#tab=summary,100000000,124870275,236827677,30304648,PG,Adventure,3119,90,2009
426,8/6/2010,The Other Guys,/movie/Other-Guys-The-(2010)#tab=summary,100000000,119219978,170936470,35543162,PG-13,Comedy,3651,97,2010
427,12/17/2004,Lemony Snicket's A Series of Unfortunate Events,/movie/Lemony-Snickets-A-Series-of-Unfortunate-Events#tab=summary,100000000,118627117,212956024,30061756,PG,Adventure,3623,107,2004
428,12/25/2013,The Wolf of Wall Street,/movie/Wolf-of-Wall-Street-The#tab=summary,100000000,116949183,389918903,18410067,R,Black Comedy,2557,165,2013
429,5/24/2013,Epic,/movie/Epic#tab=summary,100000000,107518682,262794441,33531068,PG,Adventure,3894,103,2013
430,6/21/1996,Eraser,/movie/Eraser#tab=summary,100000000,101295562,234400000,24566446,R,Action,2556,114,1996
431,6/21/1996,,,100000000,100138851,325500000,21037414,G,Adventure,2835,91,1996
432,12/15/2000,The Emperor's New Groove,/movie/Emperors-New-Groove-The#tab=summary,100000000,89630573,169630573,9812302,G,Adventure,2887,78,2000
433,8/15/2012,The Expendables 2,/movie/Expendables-2-The#tab=summary,100000000,85028192,311979256,28591370,R,Action,3355,103,2012
434,10/16/2009,Where the Wild Things Are,/movie/Where-the-Wild-Things-Are#tab=summary,100000000,77233467,99123656,32695407,PG,Adventure,3735,100,2009
435,12/15/2006,Eragon,/movie/Eragon#tab=summary,100000000,75030163,249488115,23239907,PG,Adventure,3030,104,2006
436,7/23/2014,Hercules,/movie/Hercules-(2014)#tab=summary,100000000,72688614,243388614,29800263,PG-13,Adventure,3595,97,2014
437,12/10/2010,The Tourist,/movie/Tourist-The#tab=summary,100000000,67631157,278731369,16472458,PG-13,Thriller/Suspense,2756,102,2010
438,11/24/1999,End of Days,/movie/End-of-Days#tab=summary,100000000,66889043,212026975,20523595,R,Action,2665,120,1999
439,12/25/2019,Spies in Disguise,/movie/Spies-in-Disguise-(2019)#tab=summary,100000000,66757013,165138481,13354798,PG,Adventure,3502,104,2019
440,6/11/2004,The Stepford Wives,/movie/Stepford-Wives-The-(2004)#tab=summary,100000000,59475623,96150482,21406781,PG-13,Black Comedy,3057,93,2004
441,6/8/2007,Surf’s Up,/movie/Surfs-Up-(2007)#tab=summary,100000000,58867694,145395745,17640249,PG,Adventure,3531,85,2007
442,12/8/2006,Blood Diamond,/movie/Blood-Diamond#tab=summary,100000000,57377916,171377916,8648324,R,Action,1920,143,2006
443,11/7/2019,Midway,/movie/Midway-(2019)#tab=summary,100000000,56846802,126829063,17897419,PG-13,Action,3242,138,2019
444,9/24/2010,Legend of the Guardians: The Owls of Ga'Hoole,/movie/Legend-of-the-Guardians-The-Owls-of-GaHoole#tab=summary,100000000,55675313,139716717,16112211,PG,Adventure,3575,90,2010
445,6/5/2009,Land of the Lost,/movie/Land-of-the-Lost#tab=summary,100000000,49438370,69548641,18837350,PG-13,Comedy,3534,102,2009
446,12/18/2003,Peter Pan,/movie/Peter-Pan-(2003)#tab=summary,100000000,48417850,95255485,11139495,PG,Adventure,2813,113,2003
447,3/15/2019,Wonder Park,/movie/Wonder-Park-(2019)#tab=summary,100000000,45216793,115112118,15853646,PG,Adventure,3838,93,2019
448,7/23/2004,Catwoman,/movie/Catwoman#tab=summary,100000000,40202379,82078046,16728411,PG-13,Action,3117,101,2004
449,8/14/2014,The Expendables 3,/movie/Expendables-3-The#tab=summary,100000000,39322544,209461378,15879645,PG-13,Action,3221,103,2014
450,12/8/2021,West Side Story,/movie/West-Side-Story-(2020)#tab=summary,100000000,38530322,75011257,10574618,PG-13,Musical,2820,156,2021
451,11/27/2002,Treasure Planet,/movie/Treasure-Planet#tab=summary,100000000,38120554,91800000,12083248,PG,Adventure,3227,95,2002
452,12/22/2021,The King’s Man,/movie/Kings-Man-The-(2020)#tab=summary,100000000,37176373,121125300,5915542,R,Action,3180,131,2021
453,3/12/2010,Green Zone,/movie/Green-Zone#tab=summary,100000000,35497337,97523020,14309295,R,Drama,3004,114,2010
454,10/13/2017,Geostorm,/movie/Geostorm#tab=summary,100000000,33700160,220796009,13707376,PG-13,Thriller/Suspense,3246,109,2017
455,12/2/2015,Point Break,/movie/Point-Break-(Remake)#tab=summary,100000000,28782481,126704591,9800252,PG-13,Action,2910,113,2015
456,12/17/2019,Cats,/movie/Cats-(2019)#tab=summary,100000000,27166770,75558925,6619870,PG,Musical,3380,110,2019
457,11/26/2015,In the Heart of the Sea,/movie/In-the-Heart-of-the-Sea#tab=summary,100000000,25020758,89693309,11053366,PG-13,Adventure,3103,121,2015
458,4/18/2014,Transcendence,/movie/Transcendence#tab=summary,100000000,23022309,103039258,10886386,PG-13,Thriller/Suspense,3455,119,2014
459,2/18/2005,Son of the Mask,/movie/Son-of-the-Mask#tab=summary,100000000,17018422,59918422,7511675,PG,Adventure,2966,94,2005
460,12/5/2018,Mortal Engines,/movie/Mortal-Engines-(2018)#tab=summary,100000000,15951040,85480271,7559850,PG-13,Action,3103,128,2018
461,2/3/2021,Chaos Walking,/movie/Chaos-Walking#tab=summary,100000000,13287908,27075660,3775350,PG-13,Action,2132,108,2021
462,10/13/2021,The Last Duel,/movie/Last-Duel-The#tab=summary,100000000,10853945,30055233,4759151,R,Drama,3065,153,2021
463,8/16/2002,The Adventures of Pluto Nash,/movie/Adventures-of-Pluto-Nash-The#tab=summary,100000000,4411102,7094995,2182900,PG-13,Comedy,2320,NA,2002
464,1/20/2012,,,100000000,311434,98227017,48558,R,Drama,30,141,2012
465,12/9/2020,The Midnight Sky,/movie/Midnight-Sky-The-(2020)#tab=summary,100000000,0,75615,NA,PG-13,Adventure,NA,118,2020
466,6/12/2020,Artemis Fowl,/movie/Artemis-Fowl-(2020)#tab=summary,100000000,0,0,NA,PG,Adventure,NA,115,2020
467,11/5/2015,The Peanuts Movie,/movie/Peanuts-Movie-The#tab=summary,99000000,130178411,250091610,44213073,G,Adventure,3902,89,2015
468,2/6/2019,The LEGO Movie 2: The Second Part,/movie/Lego-Movie-2-The-Second-Part-The-(2019)#tab=summary,99000000,105806508,190131036,34115335,PG,Adventure,4303,107,2019
469,11/21/2018,Robin Hood,/movie/Robin-Hood-(2018)#tab=summary,99000000,30824628,85210012,36063385,PG-13,Action,3505,139,2018
470,5/4/2001,The Mummy Returns,/movie/Mummy-Returns-The#tab=summary,98000000,202007640,435040395,68139035,PG-13,Adventure,3553,129,2001
471,11/14/2019,Ford v. Ferrari,/movie/Ford-v-Ferrari-(2019)#tab=summary,97600000,117624357,224418748,31474958,PG-13,Drama,3746,152,2019
472,12/20/2002,Gangs of New York,/movie/Gangs-of-New-York#tab=summary,97000000,77730500,183124621,9496870,R,Drama,2340,155,2002
473,5/4/2017,Alien: Covenant,/movie/Alien-Covenant#tab=summary,97000000,74262031,238521247,36160621,R,Horror,3772,123,2017
474,3/6/2015,Cinderella,/movie/Cinderella-(2015)#tab=summary,95000000,201151353,542351353,67877361,PG,Drama,3848,105,2015
475,6/27/2012,Ice Age: Continental Drift,/movie/Ice-Age-Continental-Drift#tab=summary,95000000,161321843,879765137,46629259,PG,Adventure,3886,87,2012
476,12/28/2001,Black Hawk Down,/movie/Black-Hawk-Down#tab=summary,95000000,108638745,159691085,179823,R,Action,3143,144,2001
477,5/27/2010,Sex and the City 2,/movie/Sex-and-the-City-2#tab=summary,95000000,95347692,294680778,31001870,R,Comedy,3445,146,2010
478,2/12/2010,Percy Jackson & the Olympians: The Lightning Thief,/movie/Percy-Jackson-and-the-Lightning-Thief#tab=summary,95000000,88768303,223050874,31236067,PG,Adventure,3396,119,2010
479,8/10/2012,The Campaign,/movie/Campaign-The#tab=summary,95000000,86907746,104907746,26588460,R,Comedy,3302,85,2012
480,11/12/2010,Unstoppable,/movie/Unstoppable#tab=summary,95000000,81562942,165720921,22688457,PG-13,Action,3261,98,2010
481,5/9/1997,The Fifth Element,/movie/Fifth-Element-The#tab=summary,95000000,63570862,263893838,17031345,PG-13,Action,2500,126,1997
482,3/31/2000,The Road to El Dorado,/movie/Road-to-El-Dorado-The#tab=summary,95000000,50802661,65700000,12846652,PG,Adventure,3223,89,2000
483,12/11/2009,The Lovely Bones,/movie/Lovely-Bones-The#tab=summary,95000000,44114232,94894448,116616,PG-13,Drama,2638,135,2009
484,6/30/2016,Ben-Hur,/movie/Ben-Hur-(2016)#tab=summary,95000000,26410477,91669648,11203815,PG-13,Adventure,3084,123,2016
485,12/19/2014,Seventh Son,/movie/Seventh-Son#tab=summary,95000000,17725785,108874967,7217640,PG-13,Adventure,2875,102,2014
486,5/30/2003,Finding Nemo,/movie/Finding-Nemo#tab=summary,94000000,380529370,936094852,70251710,G,Adventure,3425,100,2003
487,12/17/2003,The Lord of the Rings: The Return of the King,/movie/Lord-of-the-Rings-The-Return-of-the-King-The#tab=summary,94000000,377845905,1120214046,72629713,PG-13,Adventure,3703,201,2003
488,12/18/2002,The Lord of the Rings: The Two Towers,/movie/Lord-of-the-Rings-The-Two-Towers-The#tab=summary,94000000,342548984,919148764,62007528,PG-13,Adventure,3622,179,2002
489,6/15/2001,Lara Croft: Tomb Raider,/movie/Lara-Croft-Tomb-Raider#tab=summary,94000000,131144183,273330185,47735743,PG-13,Adventure,3349,100,2001
490,1/29/2015,Kingsman: The Secret Service,/movie/Kingsman-The-Secret-Service#tab=summary,94000000,128261724,404561724,36206331,R,Action,3282,129,2015
491,12/19/2001,The Lord of the Rings: The Fellowship of the Ring,/movie/Lord-of-the-Rings-The-Fellowship-of-the-Ring-The#tab=summary,93000000,315544750,891216824,47211490,PG-13,Adventure,3381,179,2001
492,7/18/2001,Jurassic Park III,/movie/Jurassic-Park-3#tab=summary,93000000,181166115,365900000,50771645,PG-13,Action,3470,93,2001
493,8/5/2011,Rise of the Planet of the Apes,/movie/Rise-of-the-Planet-of-the-Apes#tab=summary,93000000,176760185,470986200,54806191,PG-13,Adventure,3691,120,2011
494,2/14/2008,The Spiderwick Chronicles,/movie/Spiderwick-Chronicles-The#tab=summary,92500000,71195053,162839667,19004058,PG,Adventure,3847,96,2008
495,10/22/2004,The Incredibles,/movie/Incredibles-The#tab=summary,92000000,261441092,631441092,70467623,PG,Adventure,3933,115,2004
496,2/6/2013,A Good Day to Die Hard,/movie/Die-Hard-5#tab=summary,92000000,67349198,304249198,24834845,R,Action,3555,98,2013
497,4/9/2004,The Alamo,/movie/Alamo-The-(2004)#tab=summary,92000000,22406362,23911362,9124701,PG-13,Western,2609,137,2004
498,12/22/1995,Cutthroat Island,/movie/Cutthroat-Island#tab=summary,92000000,10017322,18517322,2371415,PG-13,Adventure,1619,NA,1995
499,12/19/2013,The Secret Life of Walter Mitty,/movie/Secret-Life-of-Walter-Mitty-The-(2012)#tab=summary,91000000,58236838,187861183,12765508,PG,Adventure,2922,114,2013
500,3/9/2023,,,91000000,0,0,NA,NA,Thriller/Suspense,NA,NA,2023
